2025-01-08T11:00:42 | 04ad10e0-79dd-4218-8796-c7b971905fff | 2025-01-08T11:00:42 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:00:57 | 650b3150-ca0a-4fae-8b66-26436752ef39 | 2025-01-08T11:00:57 | ACTION: User logged out successfully. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:00:58 | 28d14dd9-69fd-4bbc-93c6-5995d43c217b | 2025-01-08T11:00:58 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:01:12 | c06e9135-3bf1-447d-9206-6e86ab3861c6 | 2025-01-08T11:01:12 | ACTION: User user logged in successfully. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:01:13 | 335498d0-0b23-4f33-ae4d-3490d030e195 | 2025-01-08T11:01:13 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:01:41 | 20f1a15d-9e47-4ed7-8a1c-11af315ea3f5 | 2025-01-08T11:01:41 | ACTION: New post created by user 2. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:01:41 | bb5a720b-62bc-4f20-b182-fd76cd48d911 | 2025-01-08T11:01:41 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:01:46 | a98e8fca-36b2-419c-a1c5-97940daca414 | 2025-01-08T11:01:46 | ACTION: User logged out successfully. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:01:47 | 93bf5c9f-b52a-4551-aa6d-d67ca5e01ebe | 2025-01-08T11:01:47 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:01:59 | cfc55c24-6fd3-459f-8fb5-f746da23bd14 | 2025-01-08T11:01:59 | ACTION: User admin logged in successfully. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:02:01 | 0c74f562-15eb-46ae-8239-98cd2721ac42 | 2025-01-08T11:02:01 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:02:13 | 76af8ae3-18ab-4874-8d61-0ea3d6b86143 | 2025-01-08T11:02:13 | ACTION: New post created by user 1. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:02:13 | 1ad08254-4ff8-4fe3-8165-c23091aef765 | 2025-01-08T11:02:13 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:02:15 | de62a149-7fa7-4070-853d-16320526d783 | 2025-01-08T11:02:15 | ACTION: Admin admin accessed the logs page. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:02:20 | 226d4dd8-de2c-438d-903a-90263ae747c4 | 2025-01-08T11:02:20 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:02:27 | 1d6a96c0-541b-4de9-a428-2a372ac9e237 | 2025-01-08T11:02:27 | ACTION: Admin admin accessed the dashboard. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:03:10 | ee9c381a-dcc2-4353-ba0e-cce5452493f6 | 2025-01-08T11:03:10 | ACTION: Admin admin accessed the dashboard. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:03:40 | 28ed23b7-2973-4df4-aabb-bad9a50bb105 | 2025-01-08T11:03:40 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:03:42 | 0c85eda6-03c8-42e6-92a1-223dc50a1a09 | 2025-01-08T11:03:42 | ACTION: Admin admin accessed the logs page. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:04:42 | f81508f3-ada5-4a1b-8ad0-cedbead39bcb | 2025-01-08T11:04:42 | ACTION: Admin admin accessed the dashboard. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:04:49 | 872324be-8470-4edf-8619-fc87caec3d11 | 2025-01-08T11:04:49 | ACTION: User logged out successfully. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-08T11:04:49 | 444ae90d-9c0d-4a77-bced-fbe31b301fef | 2025-01-08T11:04:49 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
